train_batch_loss,train_batch_acc,learning_rate
1.872251033782959,0.25,4.264392324093816e-06
1.7333018779754639,0.5625,4.3070362473347545e-06
1.7517300844192505,0.4375,4.3496801705756935e-06
1.7316555976867676,0.5,4.3923240938166316e-06
1.8208820819854736,0.46875,4.43496801705757e-06
1.9587719440460205,0.25,4.477611940298508e-06
1.8646550178527832,0.53125,4.520255863539446e-06
1.7925987243652344,0.46875,4.562899786780384e-06
1.8334726095199585,0.4375,4.605543710021322e-06
1.7986013889312744,0.40625,4.64818763326226e-06
1.7386102676391602,0.65625,4.690831556503198e-06
1.8080456256866455,0.4375,4.733475479744136e-06
1.7396221160888672,0.5625,4.7761194029850745e-06
1.582275152206421,0.59375,4.8187633262260135e-06
1.8243889808654785,0.40625,4.8614072494669516e-06
1.8966257572174072,0.40625,4.90405117270789e-06
1.7381168603897095,0.375,4.946695095948828e-06
1.7977077960968018,0.5,4.989339019189766e-06
1.6655898094177246,0.53125,5.031982942430704e-06
1.7427765130996704,0.40625,5.074626865671642e-06
1.724981665611267,0.46875,5.11727078891258e-06
1.6217362880706787,0.5,5.159914712153518e-06
1.9631543159484863,0.25,5.202558635394456e-06
1.6979095935821533,0.5,5.245202558635395e-06
1.657751441001892,0.46875,5.2878464818763335e-06
1.7787519693374634,0.4375,5.3304904051172716e-06
1.7299015522003174,0.4375,5.37313432835821e-06
1.6862841844558716,0.4375,5.415778251599148e-06
1.4159315824508667,0.6875,5.458422174840086e-06
1.6155729293823242,0.5,5.501066098081024e-06
1.6953399181365967,0.5,5.543710021321962e-06
1.3649241924285889,0.65625,5.5863539445629e-06
1.6869263648986816,0.40625,5.628997867803838e-06
1.7009581327438354,0.375,5.671641791044776e-06
1.5507433414459229,0.53125,5.7142857142857145e-06
1.619118571281433,0.46875,5.756929637526653e-06
1.7358224391937256,0.375,5.799573560767591e-06
1.5239547491073608,0.53125,5.842217484008529e-06
1.5366122722625732,0.5,5.884861407249467e-06
1.6135098934173584,0.46875,5.927505330490405e-06
1.4803732633590698,0.5625,5.970149253731343e-06
1.5999075174331665,0.53125,6.012793176972282e-06
1.5578372478485107,0.4375,6.055437100213221e-06
1.5439084768295288,0.5625,6.098081023454159e-06
1.3485273122787476,0.59375,6.140724946695097e-06
1.5765013694763184,0.46875,6.183368869936035e-06
1.6566147804260254,0.4375,6.2260127931769735e-06
1.1038199663162231,0.6875,6.2686567164179116e-06
1.4951605796813965,0.53125,6.31130063965885e-06
1.8925029039382935,0.3125,6.353944562899788e-06
1.7277817726135254,0.4375,6.396588486140726e-06
1.1757981777191162,0.65625,6.439232409381664e-06
1.7993197441101074,0.34375,6.481876332622602e-06
1.6718518733978271,0.5,6.52452025586354e-06
1.4528220891952515,0.5,6.567164179104478e-06
2.020862579345703,0.1875,6.609808102345416e-06
1.5411148071289062,0.53125,6.6524520255863545e-06
1.6350547075271606,0.5,6.695095948827293e-06
1.5837056636810303,0.4375,6.737739872068231e-06
1.8918395042419434,0.40625,6.780383795309169e-06
1.5442148447036743,0.4375,6.823027718550107e-06
1.6905053853988647,0.34375,6.865671641791045e-06
1.6699434518814087,0.375,6.908315565031983e-06
1.53589928150177,0.46875,6.950959488272921e-06
1.6014196872711182,0.375,6.993603411513859e-06
1.7776427268981934,0.375,7.0362473347547975e-06
1.5180411338806152,0.46875,7.0788912579957356e-06
1.281914472579956,0.625,7.121535181236674e-06
1.6518528461456299,0.46875,7.164179104477612e-06
1.499691367149353,0.46875,7.20682302771855e-06
1.8431705236434937,0.375,7.249466950959488e-06
1.6631193161010742,0.375,7.292110874200427e-06
1.5132046937942505,0.5,7.334754797441366e-06
1.620775580406189,0.4375,7.377398720682304e-06
1.316831350326538,0.65625,7.420042643923242e-06
1.6501295566558838,0.4375,7.46268656716418e-06
1.4758892059326172,0.5625,7.505330490405118e-06
1.3799031972885132,0.65625,7.547974413646056e-06
1.7049719095230103,0.40625,7.5906183368869945e-06
1.6463772058486938,0.4375,7.633262260127933e-06
1.8957628011703491,0.375,7.67590618336887e-06
1.8880900144577026,0.375,7.718550106609809e-06
1.3597785234451294,0.5625,7.761194029850747e-06
1.9166016578674316,0.28125,7.803837953091685e-06
1.7583192586898804,0.34375,7.846481876332623e-06
1.482284426689148,0.5625,7.889125799573561e-06
1.5316132307052612,0.46875,7.9317697228145e-06
1.463184118270874,0.4375,7.974413646055437e-06
1.5790319442749023,0.4375,8.017057569296376e-06
1.6008929014205933,0.46875,8.059701492537314e-06
1.4361248016357422,0.5625,8.102345415778252e-06
1.3935065269470215,0.53125,8.14498933901919e-06
1.5189259052276611,0.46875,8.187633262260128e-06
1.4588119983673096,0.5625,8.230277185501066e-06
1.5061296224594116,0.4375,8.272921108742004e-06
1.5775632858276367,0.46875,8.315565031982942e-06
1.4821734428405762,0.53125,8.35820895522388e-06
1.542236328125,0.5625,8.400852878464819e-06
1.4963017702102661,0.46875,8.443496801705757e-06
1.5595417022705078,0.375,8.486140724946695e-06
1.4137831926345825,0.5625,8.528784648187633e-06
